Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
7/26/2024 14:00,14:00:00,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,null,null,null,Personal & Car related issue,null,null,444,null,0,null,null
7/25/2024 22:20,22:20:00,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,203,30,null,null,No,null,158,Cash,13,4.1,4
7/30/2024 19:59,19:59:00,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,238,130,null,null,No,null,386,UPI,40,4.2,4.8
7/22/2024 3:15,3:15:00,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,null,null,Driver is not moving towards pickup location,null,null,null,384,null,0,null,null
7/2/2024 9:02,9:02:00,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,null,null,No,null,822,Credit Card,45,4,3
7/13/2024 4:42,4:42:00,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,null,null,No,null,173,UPI,41,3.4,4.6
7/23/2024 9:51,9:51:00,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,133,40,null,null,No,null,140,Cash,49,3.2,4.5
7/11/2024 11:12,11:12:00,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,null,null,null,Personal & Car related issue,null,null,344,null,0,null,null
7/1/2024 19:19,19:19:00,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,null,null,null,null,null,null,839,null,0,null,null
7/18/2024 1:31,1:31:00,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,null,null,null,Personal & Car related issue,null,null,893,null,0,null,null
7/29/2024 23:33,23:33:00,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,35,55,null,null,No,null,164,Cash,46,4.5,3.4
7/26/2024 4:03,4:03:00,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,238,95,null,null,No,null,399,Cash,18,3.9,4.4
7/27/2024 13:18,13:18:00,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,126,35,null,null,No,null,330,UPI,8,3,4.8
7/17/2024 18:55,18:55:00,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,null,null,null,Personal & Car related issue,null,null,427,null,0,null,null
7/16/2024 9:54,9:54:00,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,70,95,null,null,No,null,378,UPI,18,4.8,4.1
7/2/2024 10:25,10:25:00,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,126,95,null,null,No,null,343,UPI,23,3.7,3.6
